actors,business,categoryid,categoryname,cityid,cityname,description,id,imgurl,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,projectid,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,tours,venue,venuecity,venueid,verticalPic,favourable
,0,1,演唱会,852,北京,只要有音乐，就不会有世界末日,1_1_157450,1574,0,1,0,0,真的爱你—致敬BEYOND·黄家驹25周年纪念演唱会,真的爱你—致敬BEYOND·黄家驹25周年纪念演唱会,280.0,280-580,580.0,157450,售票中,,2018.10.26  19:30,3,10,摇滚,只要有音乐，就不会有世界末日,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1574/157450_n.jpg?_t=1531121264687,
艺人: 动力火车,0,1,演唱会,852,北京,艺人: 动力火车,1_1_158948,1589,0,1,0,0,“跟动力合唱”动力火车20年巡回演唱会北京站,“跟动力合唱”动力火车20年巡回演唱会北京站,280.0,280-880,880.0,158948,售票中,,2018.11.24 19:30,3,9,流行,20年时光恍如瞬间，然而不论是台上的他们或是台下的歌迷，这20年来的忧喜悲欢各自点滴在新，而他们的歌曲就是每个生命重要阶段的见证。11月24日北京工人体育馆，请来跟动力合唱，共忆青春年华。,,北京工人体育馆,北京,2,https://pimg.dmcdn.cn/perform/project/1589/158948_n.jpg?_t=1532938134979,
,0,1,演唱会,852,北京,Blue Note Beijing 10/31和冯满天上山伏鬼,1_1_165019,1650,0,1,0,0,Blue Note Beijing 10/31和冯满天上山伏鬼,Blue Note Beijing 10/31和冯满天上山伏鬼,380.0,380-480,480.0,165019,售票中,,2018. 10.31    19：30,3,9,流行,Blue Note Beijing 10/31和冯满天上山伏鬼,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1650/165019_n.jpg?_t=1538297639667,
,0,1,演唱会,852,北京," ""初生牛犊""吴奇 演绎半熟少年的情深意浓",1_1_164557,1645,0,1,0,0,第十二届咪咕汇年度人气新人提名 吴奇专辑首唱会,第十二届咪咕汇年度人气新人提名 吴奇专辑首唱会,120.0,120,120.0,164557,售票中,,2018.10.20  19:30,3,9,流行," ""初生牛犊""吴奇 演绎半熟少年的情深意浓",,壹空间THE ONE CLUB,北京,1198,https://pimg.dmcdn.cn/perform/project/1645/164557_n.jpg?_t=1538032720399,
,0,1,演唱会,852,北京,Blue Note Beijing JON CLEARY,1_1_164823,1648,0,1,0,0,Blue Note Beijing JON CLEARY,Blue Note Beijing JON CLEARY,220.0,220-360,360.0,164823,售票中,,2018 .10. 18-10.19,3,9,流行,Blue Note Beijing JON CLEARY,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1648/164823_n.jpg?_t=1538194080486,
,0,1,演唱会,852,北京,Blue Note Beijing RICHARD BONA GROUP,1_1_164402,1644,0,1,0,0,Blue Note Beijing RICHARD BONA GROUP,Blue Note Beijing RICHARD BONA GROUP,260.0,260-400,400.0,164402,售票中,,2018.11.03-11.04,3,9,流行,Blue Note Beijing RICHARD BONA GROUP,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1644/164402_n.jpg?_t=1537953094279,
,0,1,演唱会,852,北京,以色列乌瑞尔·赫曼爵士钢琴四重奏音乐会,1_1_164288,1642,0,0,0,0,爵士秋色—以色列乌瑞尔·赫曼爵士钢琴四重奏音乐会,爵士秋色—以色列乌瑞尔·赫曼爵士钢琴四重奏音乐会,50.0,50-380,380.0,164288,售票中,,2018.10.16 19:30,3,9,流行,以色列乌瑞尔·赫曼爵士钢琴四重奏音乐会,,中山音乐堂,北京,106,https://pimg.dmcdn.cn/perform/project/1642/164288_n.jpg?_t=1538133982636,
艺人: NichKhun,0,1,演唱会,852,北京,艺人: NichKhun,1_1_162104,1621,0,1,0,0,Nichkhun Fanmeeting Tour  NI+KHUN  in Beijing 尼坤粉丝见面会“NI+KHUN” 北京站,Nichkhun Fanmeeting Tour NI+KHUN in Beijing 尼坤粉丝见面会“NI+KHUN” 北京站,580.0,580-1280,1280.0,162104,售票中,,2018.10.13 19:00,3,9,流行,2018年10月13日，与Ni的约会,,北京展览馆剧场,北京,26,https://pimg.dmcdn.cn/perform/project/1621/162104_n.jpg?_t=1537410289434,
,0,1,演唱会,852,北京,这必将会是一次绝妙的人生体验！,1_1_164111,1641,0,1,0,0,FEEDER First LIVE TOUR    China-Feeling A Moment 2018,FEEDER First LIVE TOUR China-Feeling A Moment 2018,380.0,380-780,780.0,164111,售票中,,2018.11.23  20:00,3,10,摇滚,这必将会是一次绝妙的人生体验！,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1641/164111_n.jpg?_t=1538097095997,
,0,1,演唱会,852,北京,JAVON JACKSON WITH JOE FARNSWORTH TRIO,1_1_163896,1638,0,1,0,0,Blue Note Beijing JAVON JACKSON WITH JOE FARNSWORTH TRIO,Blue Note Beijing JAVON JACKSON WITH JOE FARNSWORTH TRIO,220.0,220-360,360.0,163896,售票中,,2018.10.20-10.21,3,9,流行,JAVON JACKSON WITH JOE FARNSWORTH TRIO,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1638/163896_n.jpg?_t=1537350649493,
,0,1,演唱会,852,北京,ZOMBIE-CHANG及日本小清新city pop乐队Siamese Cats 联合中国巡演北京站,1_1_163486,1634,0,1,0,0,ZOMBIE-CHANG及日本小清新city pop乐队Siamese Cats 联合中国巡演北京站,ZOMBIE-CHANG及日本小清新city pop乐队Siamese Cats 联合中国巡演北京站,180.0,180,180.0,163486,售票中,,2018.10.25  20:30,3,9,流行,ZOMBIE-CHANG及日本小清新city pop乐队Siamese Cats 联合中国巡演北京站,,疆进酒·OMNI SPACE,北京,81595,https://pimg.dmcdn.cn/perform/project/1634/163486_n.jpg?_t=1537150914693,
,0,1,演唱会,852,北京,Blue Note Beijing SCOTT HENDERSON TRIO,1_1_163901,1639,0,1,0,0,Blue Note Beijing SCOTT HENDERSON TRIO,Blue Note Beijing SCOTT HENDERSON TRIO,260.0,260-400,400.0,163901,售票中,,2018.10.25-10.26,3,9,流行,Blue Note Beijing SCOTT HENDERSON TRIO,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1639/163901_n.jpg?_t=1537350760597,
,0,1,演唱会,852,北京,The Vaccines 2018巡演北京站,1_1_163055,1630,0,1,0,0,The Vaccines 2018巡演北京站,The Vaccines 2018巡演北京站,380.0,380-880,880.0,163055,售票中,,2018.11.13  20:00,3,9,流行,The Vaccines 2018巡演北京站,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1630/163055_n.jpg?_t=1536722620784,
,0,1,演唱会,852,北京,将带你进入一个神秘的世界,1_1_162808,1628,0,1,0,0,霓虹复古电子之声 DÉ DÉ MOUSE 新专辑《be yourself》巡演 北京站,霓虹复古电子之声 DÉ DÉ MOUSE 新专辑《be yourself》巡演 北京站,150.0,150,150.0,162808,售票中,,2018.10.10 20:30,3,9,流行,将带你进入一个神秘的世界,,MAO Livehouse北京五棵松,北京,92428,https://pimg.dmcdn.cn/perform/project/1628/162808_n.jpg?_t=1536303937008,
,0,1,演唱会,852,北京,让人看见最美的新疆，重温天山脚下的感动!,1_1_163355,1633,0,0,0,0,克尔曼弗拉门戈吉他乐团《楼兰传奇》演唱会,克尔曼弗拉门戈吉他乐团《楼兰传奇》演唱会,80.0,80-950,950.0,163355,售票中,,2018.10.25 19:30,3,11,民族,让人看见最美的新疆，重温天山脚下的感动!,,国图艺术中心,北京,210,https://pimg.dmcdn.cn/perform/project/1633/163355_n.jpg?_t=1536825755972,['9|||320元（180（C）2张）；450元（180（C）3张）；500元（280（B）2张）；600元（380（A）2张）；700元（280（B）3张）；950元（380（A）3张）;']
